,dn,yard,a,n_yard,p
120,1,2,0,10,0.04966225770113586
121,1,2,1,0,0.0
122,1,2,1,1,0.0
123,1,2,1,2,0.38088664817716633
124,1,2,1,3,0.09334066842910776
125,1,2,1,4,0.09503113771286403
126,1,2,1,5,0.09128470896206231
127,1,2,1,6,0.08273091710765346
128,1,2,1,7,0.0707419794097569
129,1,2,1,8,0.05707289306376839
130,1,2,1,9,0.04344430286232481
131,1,2,1,10,0.08546674427529599
132,1,2,2,0,0.0
133,1,2,2,1,0.0
134,1,2,2,2,0.2999056060245809
135,1,2,2,3,0.06292959898555789
136,1,2,2,4,0.06717577099239619
137,1,2,2,5,0.06948202372647522
138,1,2,2,6,0.0696359838993672
139,1,2,2,7,0.06762329213889717
140,1,2,2,8,0.06362980992087297
141,1,2,2,9,0.058013306523038266
142,1,2,2,10,0.2416046077888142
143,1,2,3,0,0.0
144,1,2,3,1,0.0
145,1,2,3,2,0.25686398176443975
146,1,2,3,3,0.039746406415326785
147,1,2,3,4,0.04262407507110161
148,1,2,3,5,0.045014495838253954
149,1,2,3,6,0.04681543448074371
150,1,2,3,7,0.04794730918947099
151,1,2,3,8,0.04835901967785605
152,1,2,3,9,0.04803177216643295
153,1,2,3,10,0.4245975053963742
154,1,2,4,0,0.0
155,1,2,4,1,0.0
156,1,2,4,2,0.26517312961742484
157,1,2,4,3,0.02705180358245074
158,1,2,4,4,0.02847485190377802
159,1,2,4,5,0.02975129562048756
160,1,2,4,6,0.030855207936519635
161,1,2,4,7,0.031763510221086144
162,1,2,4,8,0.03245677289114596
163,1,2,4,9,0.032919905920649084
164,1,2,4,10,0.521553522306458
165,1,3,0,0,0.0
166,1,3,0,1,0.0
167,1,3,0,2,0.0
168,1,3,0,3,0.353744295751507
169,1,3,0,4,0.12035687177191778
170,1,3,0,5,0.12317774507858792
171,1,3,0,6,0.11429531105979474
172,1,3,0,7,0.09615256026754937
173,1,3,0,8,0.07333885394336959
174,1,3,0,9,0.05071761973463551
175,1,3,0,10,0.06821674239263809
